Support Name, Line Number, Support Room, Room Description, Level, Support Type, Support Data Sheet, Data Page, Wrap, Approved, Fire Rating, Building, Designer
/1HFB19SV0042,/1DVF4505GL-,/1HFB1905ZL-,Telecom Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0041,/1DVF4505GL-,/1HFB1905ZL-,Telecom Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0036,/1DVF4505GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0043,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0048,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0047,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0044,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0046,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0045,/1DVF4510GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0049,/1DVF4513GL-,/1HFB1905ZL-,Telecom Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0017,/1DVF4514GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 7 - Fire Damper Vertical Floor Support 1,45062_MWG_DR_00080_40008_Support_Type_7,4,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0019,/1DVF4517GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0020,/1DVF4517GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0021,/1DVF4522GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 6 - Horizontal Duct Floor Support,45062_MWG_DR_00080_70001_Support_Type_6,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0108,/1DVF4534GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB23SV0004,/1DVF4602GL-,/1HFB2301ZL-,Firefighting Lobby, 23, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB23SV0005,/1DVF4602GL-,/1HFB2301ZL-,Firefighting Lobby, 23, Support Type 7 - Fire Damper Vertical Floor Support 2,45062_MWG_DR_00080_40008_Support_Type_7,5,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB27SV0011,/1DVF4701GL-,/1HFB2702ZL-,Firefighting Stairs, 27, Support Type 7 - Fire Damper Wall Support 1,45062_MWG_DR_00080_40008_Support_Type_7,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB27SV0004,/1DVF4701GL-,/1HFB2701ZL-,Firefighting Lobby, 27, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB27SV0010,/1DVF4701GL-,/1HFB2701ZL-,Firefighting Lobby, 27, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,Yes,Yes, No, 1HF Building, S. Pinnock
