Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFB14SV0029/1, 546575.00, 165000.00, 8690.00, /1HFB14SV0029, /1HFB1404ZL-, 14, Special, nulref, 1, No, S. Pinnock
/1HFB14SV0029/2, 546925.00, 165000.00, 8690.00, /1HFB14SV0029, /1HFB1404ZL-, 14, Special, nulref, 1, No, S. Pinnock
/1HFB14SV0028/1, 546575.00, 166450.00, 8690.00, /1HFB14SV0028, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0028/2, 547025.00, 166450.00, 8700.00, /1HFB14SV0028, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0027/1, 546575.00, 168850.00, 8690.00, /1HFB14SV0027, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0027/2, 547025.00, 168850.00, 8700.00, /1HFB14SV0027, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0026/1, 546575.00, 171300.00, 8690.00, /1HFB14SV0026, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0026/2, 547025.00, 171300.00, 8700.00, /1HFB14SV0026, /1HFB1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0018/1, 535975.00, 178213.00, 8575.00, /1HFB14SV0018, /1HFB1401ZL-, 14, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, S. Pinnock
/1HFB14SV0018/2, 537125.00, 178213.00, 8575.00, /1HFB14SV0018, /1HFB1401ZL-, 14, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, S. Pinnock
/1HFB14SV0045/1, 543225.00, 175300.00, 8690.00, /1HFB14SV0045, /1HFB1403ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0045/2, 543225.00, 174550.00, 8700.00, /1HFB14SV0045, /1HFB1403ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB14SV0014/1, 544529.50, 175406.10, 4820.00, /1HFB14SV0014, /1HFB1403ZL-, 14, Support Type 6 - Vertical Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 2, No, S. Pinnock
/1HFB14SV0014/2, 543609.50, 175406.10, 4810.00, /1HFB14SV0014, /1HFB1403ZL-, 14, Support Type 6 - Vertical Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 2, No, S. Pinnock
/1HFB14SV0014/3, 543609.50, 174441.14, 4810.00, /1HFB14SV0014, /1HFB1403ZL-, 14, Support Type 6 - Vertical Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 2, No, S. Pinnock
/1HFB14SV0014/4, 544529.50, 174441.14, 4810.00, /1HFB14SV0014, /1HFB1403ZL-, 14, Support Type 6 - Vertical Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 2, No, S. Pinnock
