Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/18062/50A, 20442/18062, STRT, /1DVF1403GL-, 50, 1000, 600, 14
20442/18062/50B, 20442/18062, STRT, /1DVF1403GL-, 50, 1000, 600, 14
20442/19566/50A, 20442/19566, STRT, /1DVF1404GL-, 50, 800, 800, 14
20442/19566/50B, 20442/19566, STRT, /1DVF1404GL-, 50, 800, 800, 14
20442/19123/50A, 20442/19123, STRT, /1DVF1404GL-, 50, 800, 800, 14
20442/19123/50B, 20442/19123, STRT, /1DVF1404GL-, 50, 800, 800, 14
20442/19123/50C, 20442/19123, BRCO, /1DVF1404GL-, 50, 300, 500, 14
20442/19112/50A, 20442/19112, TAPE, /1DVF1404GL-, 50, 800, 800, 14
20442/19112/50B, 20442/19112, TAPE, /1DVF1404GL-, 50, 800, 750, 14
20442/7796/50A, 20442/7796, STRT, /1DVF1404GL-, 50, 800, 750, 14
20442/7796/50B, 20442/7796, STRT, /1DVF1404GL-, 50, 800, 750, 14
20442/7796/40C, 20442/7796, BRCO, /1DVF1404GL-, 40, 100, 100, 14
20442/19113/50A, 20442/19113, STRT, /1DVF1404GL-, 50, 800, 750, 14
20442/19113/50B, 20442/19113, STRT, /1DVF1404GL-, 50, 800, 750, 14
20442/19113/40C, 20442/19113, BRCO, /1DVF1404GL-, 40, 200, 200, 14
20442/19570/50A, 20442/19570, STRT, /1DVF1404GL-, 50, 750, 800, 14
20442/19570/50B, 20442/19570, STRT, /1DVF1404GL-, 50, 750, 800, 14
20442/19125/50A, 20442/19125, BEND, /1DVF1405GL-, 50, 500, 300, 14
20442/19125/50B, 20442/19125, BEND, /1DVF1405GL-, 50, 500, 300, 14
20442/19127/50A, 20442/19127, STRT, /1DVF1405GL-, 50, 500, 300, 14
20442/19127/50B, 20442/19127, STRT, /1DVF1405GL-, 50, 500, 300, 14
20442/19130/50A, 20442/19130, STRT, /1DVF1405GL-, 50, 300, 500, 14
20442/19130/50B, 20442/19130, STRT, /1DVF1405GL-, 50, 300, 500, 14
20442/19130/40C, 20442/19130, BRCO, /1DVF1405GL-, 40, 300, 300, 14
20442/19134/50A, 20442/19134, TAPE, /1DVF1405GL-, 50, 300, 500, 14
20442/19134/50B, 20442/19134, TAPE, /1DVF1405GL-, 50, 200, 500, 14
20442/19136/50A, 20442/19136, OFST, /1DVF1405GL-, 50, 500, 200, 14
20442/19136/50B, 20442/19136, OFST, /1DVF1405GL-, 50, 500, 200, 14
20442/19137/50A, 20442/19137, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/19137/50B, 20442/19137, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/19138/50A, 20442/19138, STRT, /1DVF1405GL-, 50, 200, 500, 14
20442/19138/50B, 20442/19138, STRT, /1DVF1405GL-, 50, 200, 500, 14
20442/19138/40C, 20442/19138, BRCO, /1DVF1405GL-, 40, 300, 200, 14
20442/60997/50A, 20442/60997, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/60997/50B, 20442/60997, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/60998/50A, 20442/60998, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/60998/50B, 20442/60998, STRT, /1DVF1405GL-, 50, 500, 200, 14
20442/61001/50A, 20442/61001, STRT, /1DVF1405GL-, 50, 500, 200, 14
